RIC,Date,Name,ISIN Code,TRBC Industry Group Name
GLPG.AS,2022-12-31,GALAPAGOS ORD,BE0003818359,Biotechnology & Medical Research
UMI.BR,2022-12-31,UMICORE ORD,BE0974320526,Chemicals
VGP1.BR,2022-12-31,VGP ORD,BE0003878957,Real Estate Operations
ABI.BR,2022-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD,BE0974293251,Beverages
COLR.BR,2022-12-31,ETABLISSEMENTS COLRUYT ORD,BE0974256852,Food & Drug Retailing
SOF.BR,2022-12-31,SOFINA ORD,BE0003717312,Investment Holding Companies
KBC.BR,2022-12-31,KBC GROEP ORD,BE0003565737,Banking Services
UCB.BR,2022-12-31,UCB ORD,BE0003739530,Pharmaceuticals
SOLB.BR,2023-12-31,SOLVAY ORD,BE0003470755,Chemicals
ACKB.BR,2023-12-31,ACKERMANS V.HAAR ORD,BE0003764785,Construction & Engineering
SYENS.BR,2023-12-31,SYENSQO ORD SHS,BE0974464977,Chemicals
ARGX.BR,2023-12-31,ARGEN X NV,NL0010832176,Biotechnology & Medical Research
PROX.BR,2023-12-31,PROXIMUS,BE0003810273,Telecommunications Services
APAM.AS,2023-12-31,APERAM ORD,LU0569974404,Metals & Mining
ELI.BR,2023-12-31,ELIA SYSTEM OPERATOR ORD,BE0003822393,Electric Utilities & IPPs
WDPP.BR,2023-12-31,WDP-SICAFI REIT,BE0974349814,Residential & Commercial REITs
AOO.BR,2023-12-31,AEDIFICA SA,BE0003851681,Residential & Commercial REITs
MLXS.BR,2023-12-31,MELEXIS ORD,BE0165385973,Semiconductors & Semiconductor Equipment
GBLB.BR,2023-12-31,GROUPE BRUXELLES LAMBERT ORD,BE0003797140,Investment Holding Companies
AGES.BR,2023-12-31,AGEAS(EX-FORTIS) ORD,BE0974264930,Insurance
IETB.BR,2023-12-31,D'IETEREN ORD,BE0974259880,Specialty Retailers
COFB.BR,2023-12-31,COFINIMMO,BE0003593044,Residential & Commercial REITs
GLPG.AS,2023-12-31,GALAPAGOS ORD,BE0003818359,Biotechnology & Medical Research
UMI.BR,2023-12-31,UMICORE ORD,BE0974320526,Chemicals
ABI.BR,2023-12-31,ANHEUSER-BUSCH INBEV SA/NV ORD,BE0974293251,Beverages
SOF.BR,2023-12-31,SOFINA ORD,BE0003717312,Investment Holding Companies
KBC.BR,2023-12-31,KBC GROEP ORD,BE0003565737,Banking Services
UCB.BR,2023-12-31,UCB ORD,BE0003739530,Pharmaceuticals
SOLB.BR,2024-12-31,SOLVAY ORD,BE0003470755,Chemicals
