date,log_price_A,log_price_B,price_A,price_B,returns_A,returns_B,flow_A,flow_B,flow_pct_A,flow_pct_B,flow_diff,flow_diff_pct,volume_A,volume_B,adv_A,adv_B,symbol_A,symbol_B,sector
2015-10-08,3.4081729953985804,4.308514638737202,30.21,74.33,0.0,0.008275,0.0,0.0,0.0,0.008274552360282149,0.0,-0.008274552360282149,2000.0,8343433.0,60420.0,690420298.1984999,XLRE,IYR,Real Estate
2015-10-09,3.4065165431397553,4.307437777682809,30.16,74.25,-0.001655,-0.001076,0.0,0.0,-0.0016550810989738498,-0.001076281447598547,0.0,-0.0005787996513753027,4335.0,5761874.0,95581.8,680638142.672,XLRE,IYR,Real Estate
2015-10-12,3.412793222607163,4.312810523985199,30.3499,74.65,0.006296,0.005387,0.0,0.0,0.006296419098143236,0.005387205387205507,0.0,0.0009092137109377287,2250.0,5143554.0,86483.625,678387830.9645001,XLRE,IYR,Real Estate
2015-10-13,3.4065165431397553,4.3054155323020415,30.16,74.1,-0.006257,-0.007368,0.0,0.0,-0.00625702226366479,-0.007367716008037746,0.0,0.001110693744372956,508.0,8391070.0,68693.03875,683272088.5305,XLRE,IYR,Real Estate
2015-10-14,,4.298916727950875,,73.62,-0.008123,-0.006478,0.0,0.0,0.0,-0.0064777327935220275,0.0,0.0064777327935220275,0.0,8572846.0,68693.03875,691789387.809,XLRE,IYR,Real Estate
2015-10-15,3.4035279970004377,4.310262068444571,30.07,74.46,0.005181,0.01141,0.0,0.0,0.0,0.011409942950285006,0.0,-0.011409942950285006,2515.0,5691982.0,70079.641,628970034.67,XLRE,IYR,Real Estate
2015-10-16,3.422371616893562,4.318287793706875,30.642,75.06,0.019022,0.008058,0.0,0.0,0.01902228134353176,0.008058017727639121,0.0,0.010964263615892639,400.0,5913742.0,60442.50083333333,595000540.9560001,XLRE,IYR,Real Estate
2015-10-19,3.4339839786734916,4.330075229041782,30.9999,75.95,0.01168,0.011857,0.0,0.0,0.011680046994321519,0.011857180921929123,0.0,-0.00017713392760760477,2001.0,7806749.0,60669.4007,577556548.1394999,XLRE,IYR,Real Estate
2015-10-20,3.434954478460289,4.331259517620229,31.03,76.04,0.000971,0.001185,0.0,0.0,0.0009709708740995938,0.001184990125082408,0.0,-0.00021401925098281426,3240.0,10961400.0,65652.8756125,592397336.4115,XLRE,IYR,Real Estate
2015-10-21,3.4357598260112665,4.327702435943282,31.055,75.77,0.000806,-0.003551,0.0,0.0,0.0008056719303899452,-0.0035507627564440934,0.0,0.004356434686834039,400.0,5887925.0,59738.33387777778,590054202.4024999,XLRE,IYR,Real Estate
2015-10-22,3.4483194887308906,4.338597076746545,31.4475,76.6,0.012639,0.010954,0.0,0.0,0.012638866527129287,0.01095420351062414,0.0,0.0016846630165051474,2180.0,8893892.0,60620.05549,588933304.3375,XLRE,IYR,Real Estate
2015-10-23,3.436242723404956,4.3294166844015844,31.07,75.9,-0.012004,-0.009138,0.0,0.0,-0.012004133873916845,-0.009138381201044155,0.0,-0.0028657526728726908,3548.0,8062950.0,65130.62862727272,590767535.2675,XLRE,IYR,Real Estate
2015-10-26,3.4375293109095457,4.3292849234158215,31.11,75.89,0.001287,-0.000132,0.0,0.0,0.001287415513356936,-0.00013175230566546634,0.0,0.0014191678190224025,576.0,6239009.0,61196.356241666675,572667279.9100001,XLRE,IYR,Real Estate
2015-10-27,3.437796070568711,4.3267781604434035,31.1183,75.7,0.000267,-0.002504,0.0,0.0,0.0002667952426872388,-0.0025036236658321255,0.0,0.002770418908519364,3350.0,9751816.0,64507.89076153846,573953692.9200001,XLRE,IYR,Real Estate
2015-10-28,3.434148481801841,4.330601752681694,31.005,75.99,-0.003641,0.003831,0.0,0.0,-0.003640944396062767,0.0038309114927343605,0.0,-0.007471855888797127,3210.0,16084361.0,67009.18785,599991724.6470001,XLRE,IYR,Real Estate
2015-10-29,3.438685826073147,4.3295484280286765,31.146,75.91,0.004548,-0.001053,0.0,0.0,0.004547653604257378,-0.0010527701013290053,0.0,0.005600423705586383,3906.0,7657819.0,70652.32706000001,599488307.6854999,XLRE,IYR,Real Estate
2015-10-30,3.432372999130605,4.3222766302681075,30.95,75.36,-0.006293,-0.007245,0.0,471000000.0,-0.006292942914017851,0.10851420672949309,-471000000.0,-0.11480714964351095,211.0,9418508.0,66644.70974375,589436152.5195,XLRE,IYR,Real Estate
2015-11-02,,4.344194956364874,,77.03,0.023425,0.02216,0.0,0.0,0.0,0.022160297239915073,0.0,-0.022160297239915073,0.0,20538131.0,66644.70974375,644155449.695,XLRE,IYR,Real Estate
2015-11-03,3.4452142670789296,4.334803991301542,31.35,76.31,-0.01026,-0.009347,0.0,0.0,0.0,-0.009347007659353498,0.0,0.009347007659353498,520.0,7607346.0,63683.37387647059,655290371.3345,XLRE,IYR,Real Estate
2015-11-04,3.441058915087286,4.3299435548036564,31.22,75.94,-0.004147,-0.004849,0.0,0.0,-0.004146730462519936,-0.004848643690210982,0.0,0.0007019132276910459,1850.0,7163709.0,63354.13088333334,657499308.3335,XLRE,IYR,Real Estate
2015-11-05,3.4372078191851885,4.33283639048311,31.1,76.16,-0.003844,0.002897,0.0,0.0,-0.003843689942344651,0.0028970239662891757,0.0,-0.006740713908633827,23810.0,8065912.0,101135.85310555556,657205932.485,XLRE,IYR,Real Estate
2015-11-06,3.3995293245614584,4.303794786404308,29.95,73.98,-0.036978,-0.028624,0.0,0.0,-0.03697749196141479,-0.02862394957983193,0.0,-0.008353542381582858,9031.0,23851019.0,108898.90032777778,724039894.541,XLRE,IYR,Real Estate
2015-11-09,3.391483689474516,4.290185431008302,29.71,72.98,-0.008013,-0.013517,0.0,0.0,-0.008013355592654424,-0.013517166801838334,0.0,0.005503811209183911,45453.0,13643763.0,180127.86449444445,754627670.4230001,XLRE,IYR,Real Estate
2015-11-10,3.402196881995239,4.299324142908639,30.03,73.65,0.010771,0.009181,0.0,0.0,0.010770784247728038,0.009180597423951768,0.0,0.0015901868237762698,27240.0,9734491.0,224722.08227222224,759386019.1805,XLRE,IYR,Real Estate
2015-11-11,3.405650783862938,4.300545392805998,30.1339,73.74,0.00346,0.001222,0.0,0.0,0.00345987345987346,0.0012219959266802445,0.0,0.0022378775331932154,27147.0,4765355.0,255949.6033789474,745399236.9395,XLRE,IYR,Real Estate
2015-11-12,3.3995293245614584,4.293332023658551,29.95,73.21,-0.006103,-0.007187,0.0,0.0,-0.00610276134187742,-0.007187415242744779,0.0,0.0010846539008673587,63887.0,6101856.0,352675.3718,746543831.8415,XLRE,IYR,Real Estate
2015-11-13,3.386422096080001,4.282758633015213,29.56,72.44,-0.013022,-0.010518,0.0,0.0,-0.01302170283806344,-0.010517688840322361,0.0,-0.0025040139977410784,47674.0,11692974.0,426200.98443157895,766701509.9435,XLRE,IYR,Real Estate
2015-11-16,3.3854066957558313,4.294424173937759,29.53,73.29,-0.001015,0.011734,0.0,0.0,-0.0010148849797023004,0.011733848702374379,0.0,-0.01274873368207668,4200.0,7639892.0,429463.8897,765051764.85,XLRE,IYR,Real Estate
2015-11-17,3.4008639927609177,4.294969802105708,29.99,73.33,0.015577,0.000546,0.0,0.0,0.015577378936674569,0.0005457770500750444,0.0,0.015031601886599525,25680.0,9096325.0,464706.31075263163,756728197.6625,XLRE,IYR,Real Estate
2015-11-18,3.412625168394456,4.305550475963267,30.3448,74.11,0.011831,0.010637,0.0,0.0,0.011830610203401135,0.010636847129414973,0.0,0.0011937630739861614,28556.0,8297832.0,509659.15858421056,765169410.276,XLRE,IYR,Real Estate
2015-11-19,3.418054498728578,4.308380094505583,30.51,74.32,0.005444,0.002834,0.0,0.0,0.005444095858268962,0.002833625691539603,0.0,0.002610470166729359,3517.0,6542997.0,511698.5333210526,755419580.768,XLRE,IYR,Real Estate
2015-11-20,3.4262151446374434,4.3185542117183084,30.76,75.08,0.008194,0.010226,0.0,0.0,0.00819403474270731,0.01022604951560818,0.0,-0.0020320147729008704,597.0,7804829.0,506863.13121578953,754120013.584,XLRE,IYR,Real Estate
2015-11-23,3.4314032237192214,4.320284200838311,30.92,75.21,0.005202,0.001731,0.0,0.0,0.005201560468140442,0.0017314864144912093,0.0,0.0034700740536492327,2392.0,5148673.0,509812.67226842104,749807678.75,XLRE,IYR,Real Estate
2015-11-24,3.416085994155906,4.315352501405889,30.45,74.84,-0.015201,-0.00492,0.0,0.0,-0.01520051746442432,-0.0049195585693391835,0.0,-0.010280958895085138,2524.0,9755397.0,508371.06674210523,749401750.7639999,XLRE,IYR,Real Estate
2015-11-25,,4.318687394111793,,75.09,0.010509,0.00334,0.0,0.0,0.0,0.0033404596472474614,0.0,-0.0033404596472474614,0.0,4324401.0,531084.6787833334,704525184.699,XLRE,IYR,Real Estate
2015-11-27,,4.326646051321076,,75.69,0.0065,0.00799,0.0,0.0,0.0,0.007990411506192568,0.0,-0.007990411506192568,0.0,3255255.0,555168.7024764706,687779445.2320001,XLRE,IYR,Real Estate
